num	zipcode	name
17460.0	25040	Balaguer
2886.0	4904	Balanegra
2388.0	2012	Balazote
316.0	9034	Balbases
271.0	24009	Balboa
18.0	50042	Balconchán
79.0	22045	Baldellou
1158.0	27004	Baleira
3948.0	8017	Balenyà
152.0	20904	Baliarrain
427.0	2014	Ballestero
367.0	13022	Ballesteros de Calatrava
864.0	22046	Ballobar
7636.0	48090	Balmaseda
126.0	3020	Balones
126.0	2013	Balsa de Ves
3249.0	8018	Balsareny
1206.0	34022	Baltanás
910.0	32005	Baltar
333.0	22047	Banastás
1463.0	32006	Bande
566.0	7007	Banyalbufar
7201.0	3021	Banyeres de Mariola
3271.0	43020	Banyeres del Penedès
20187.0	17015	Banyoles
3333.0	15007	Baña
206.0	26024	Bañares
10024.0	24010	Bañeza
286.0	37039	Bañobárez
157.0	44034	Bañón
296.0	1011	Baños de Ebro/Mañueta
2594.0	23011	Baños de la Encina
1489.0	32007	Baños de Molgas
739.0	10024	Baños de Montemayor
1589.0	26026	Baños de Río Tobía
82.0	26025	Baños de Rioja
17.0	19048	Baños de Tajo
332.0	9035	Baños de Valdearados
14.0	19049	Bañuelos
34.0	9036	Bañuelos de Bureba
27.0	34024	Baquerín de Campos
987.0	16027	Barajas de Melo
100535.0	48013	Barakaldo
2436.0	27901	Baralla
19537.0	31901	Barañáin/Barañain
128.0	42029	Baraona
621.0	31045	Barásoain
