,num,zipcode,name,latitude,longitude,geohash,geohash_5,geohash_6,population_bucket,population_bucket_label
2365,79.0,40061,Corral de Ayllón,41.3917236,-3.4591203,ezme,ezme3,ezme3r,"(0, 100]",1
2366,1089.0,13035,Corral de Calatrava,38.8573077,-4.0807008,eyvj,eyvj5,eyvj51,"(1000, 5000]",4
2367,10742.0,39025,Corrales de Buelna,43.2619686,-4.0667653,eztn,eztn5,eztn57,"(10000, 50000]",6
2368,99.0,47056,Corrales de Duero,41.6713964,-4.0485657,ezmj,ezmj5,ezmj5f,"(0, 100]",1
2369,960.0,49054,Corrales del Vino,41.3577746,-5.7252637,ez7g,ez7gm,ez7gm8,"(500, 1000]",3
2370,3984.0,41037,Corrales,41.3577746,-5.7252637,ez7g,ez7gm,ez7gm8,"(1000, 5000]",4
2371,300.0,2027,Corral-Rubio,38.8349621,-1.4604332,eyyu,eyyuy,eyyuyv,"(100, 500]",2
2372,1187.0,6040,Corte de Peleas,38.7253775,-6.6710101,eygk,eygk2,eygk21,"(1000, 5000]",4
2373,561.0,21024,Corteconcepción,37.8963289,-6.5073264,eyer,eyere,eyeref,"(500, 1000]",3
2374,1036.0,32027,Cortegada,42.2072732,-8.170081,ezd0,ezd0n,ezd0n5,"(1000, 5000]",4
2375,4636.0,21025,Cortegana,37.9093023,-6.8196169,eyep,eyeps,eyepsv,"(1000, 5000]",4
2376,302.0,21026,Cortelazor,37.93559,-6.6245719,eyer,eyerc,eyerc3,"(100, 500]",2
2377,3184.0,31078,Cortes,41.9235302,-1.4206848,ezqy,ezqyr,ezqyrx,"(1000, 5000]",4
2378,62.0,44084,Cortes de Aragón,40.9737275,-0.8352589,ezr3,ezr3h,ezr3hg,"(0, 100]",1
2379,293.0,12048,Cortes de Arenoso,40.1864989,-0.5425913,ezps,ezpse,ezpsee,"(100, 500]",2
2380,1824.0,18053,Cortes de Baza,37.6539109,-2.7699007,eywn,eywn0,eywn0y,"(1000, 5000]",4
2381,2986.0,29046,Cortes de la Frontera,36.6170845,-5.3426714,eys0,eys0q,eys0q3,"(1000, 5000]",4
2382,733.0,46099,Cortes de Pallás,39.2423365,-0.9403895,eyzr,eyzr4,eyzr4x,"(500, 1000]",3
2383,994.0,18054,Cortes y Graena,37.2870853,-3.245263385876749,eyts,eytsn,eytsn5,"(500, 1000]",3
2384,865.0,13036,Cortijos,38.8565405,-6.1866374,eygt,eygt5,eygt51,"(500, 1000]",3
2385,858.0,24059,Corullón,42.5807721,-6.8185695,eze4,eze4h,eze4hz,"(500, 1000]",3
2386,104.0,9112,Coruña del Conde,41.7657004,-3.3905895,ezmt,ezmtd,ezmtdg,"(100, 500]",2
2387,244700.0,15030,Coruña,43.3709703,-8.3959425,ezdn,ezdn8,ezdn8z,"(100000, 250000]",8
2388,15563.0,33020,Corvera de Asturias,43.517845699999995,-5.887764837915894,ezez,ezezd,ezezd4,"(10000, 50000]",6
2389,2115.0,39026,Corvera de Toranzo,43.216149599999994,-3.9620952664005857,eztj,eztjv,eztjvg,"(1000, 5000]",4
2390,50.0,44085,Cosa,40.8339734,-1.1353123,ezr0,ezr0q,ezr0q1,"(0, 100]",1
2391,68.0,42068,Coscurita,41.4351981,-2.4762543,ezq5,ezq5x,ezq5xx,"(0, 100]",1
2392,80596.0,28049,Coslada,40.423802,-3.5552882,ezjm,ezjmz,ezjmzn,"(50000, 100000]",7
2393,4342.0,27015,Cospeito,43.2160062,-7.5591168,ezdt,ezdtg,ezdtgg,"(1000, 5000]",4
2394,1446.0,7017,Costitx,39.6575923,2.9496833,sp41,sp41e,sp41e5,"(1000, 5000]",4
2395,528.0,12049,Costur,40.1200736,-0.1735358,ezpu,ezpuh,ezpuhp,"(500, 1000]",3
